country,population_2020,urban_pop_pct,gdp_per_capita_2020_usd
Saint Kitts & Nevis,53264,0.33,774.69
Saint Lucia,183774,0.19,774.69
Saint Martin,38778,,774.69
Saint Pierre & Miquelon,5789,1.0,774.69
Samoa,198643,0.18,4042.75
San Marino,33944,0.97,45320.21
Sao Tome & Principe,219844,0.74,45320.21
Saudi Arabia,34905942,0.84,19539.57
Senegal,16816539,0.49,1490.2
Serbia,8731081,0.56,7733.8
Seychelles,98453,0.56,12808.99
Sierra Leone,8004158,0.43,493.48
Singapore,5858322,,60729.45
Sint Maarten,42960,0.96,60729.45
Slovakia,5460109,0.54,19545.74
Slovenia,2078989,0.55,25545.24
Solomon Islands,689671,0.23,2222.47
Somalia,15965848,0.47,416.22
South Africa,59436725,0.67,5741.64
South Korea,51276977,0.82,1852.3
South Sudan,11216250,0.25,
Spain,46757980,0.8,26959.68
Sri Lanka,21428970,0.18,3893.84
St. Vincent & Grenadines,111002,0.53,
State of Palestine,5121112,0.8,8335.26
Sudan,44019263,0.35,608.33
Suriname,587541,0.65,4796.53
Sweden,10110233,0.88,52837.9
Switzerland,8665615,0.74,85656.32
Syria,17571053,0.6,85656.32
Taiwan,23824369,0.79,533.39
Tajikistan,9573310,0.27,852.33
Tanzania,60012400,0.37,1042.1
Thailand,69830779,0.51,6990.94
Timor-Leste,1322667,0.33,1660.31
Togo,8310934,0.43,897.19
Tokelau,1360,,897.19
Tonga,105901,0.24,4606.06
Trinidad and Tobago,1400283,0.52,13871.8
Tunisia,11839918,0.7,3497.68
Turkey,84495243,0.76,3497.68
Turkmenistan,6046292,0.53,
Turks and Caicos,38806,0.89,
Tuvalu,11817,0.62,4973.77
U.S. Virgin Islands,104398,0.96,4973.77
Uganda,45974931,0.26,846.77
Ukraine,43686577,0.69,3751.74
United Arab Emirates,9910892,0.86,37629.17
United Kingdom,67948282,0.83,40318.56
United States,331341050,0.83,63530.63
Uruguay,3475842,0.96,15619.54
Uzbekistan,33551824,0.5,1749.66
Vanuatu,308337,0.24,2877.52
Venezuela,28421581,,2877.52
Vietnam,97490013,0.38,3586.35
Wallis & Futuna,11203,,39552.17
Western Sahara,599769,0.87,3233.57
Yemen,29935468,0.38,10883.08
Zambia,18468257,0.45,956.83
Zimbabwe,14899771,0.38,1372.7
