country,population_2020,gdp_per_capita_2020_usd,avg_gov_exp_edu_gdp_pct_20y
Saint Barthelemy,9882,775.0,3.88
Saint Helena,6080,775.0,3.88
Saint Kitts & Nevis,53264,775.0,3.88
Saint Lucia,183774,775.0,3.9
Saint Martin,38778,775.0,3.9
Saint Pierre & Miquelon,5789,775.0,3.9
Samoa,198643,4043.0,4.36
San Marino,33944,45320.0,3.13
Sao Tome & Principe,219844,45320.0,3.13
Saudi Arabia,34905942,19540.0,6.39
Senegal,16816539,1490.0,4.3
Serbia,8731081,7734.0,4.01
Seychelles,98453,12809.0,4.12
Sierra Leone,8004158,493.0,3.82
Singapore,5858322,60729.0,3.07
Sint Maarten,42960,60729.0,3.07
Slovakia,5460109,19546.0,3.97
Slovenia,2078989,25545.0,5.37
Solomon Islands,689671,2222.0,8.6
Somalia,15965848,416.0,8.6
South Africa,59436725,5742.0,5.61
South Korea,51276977,1852.0,4.37
South Sudan,11216250,,1.24
Spain,46757980,26960.0,4.34
Sri Lanka,21428970,3894.0,2.13
St. Vincent & Grenadines,111002,,2.13
State of Palestine,5121112,8335.0,2.13
Sudan,44019263,608.0,1.72
Suriname,587541,4797.0,6.19
Sweden,10110233,52838.0,6.93
Switzerland,8665615,85656.0,4.91
Syria,17571053,85656.0,5.15
Taiwan,23824369,533.0,5.15
Tajikistan,9573310,852.0,3.91
Tanzania,60012400,1042.0,3.74
Thailand,69830779,6991.0,3.91
Timor-Leste,1322667,1660.0,8.51
Togo,8310934,897.0,3.94
Tokelau,1360,897.0,3.94
Tonga,105901,4606.0,5.08
Trinidad and Tobago,1400283,13872.0,3.81
Tunisia,11839918,3498.0,6.57
Turkey,84495243,3498.0,2.96
Turkmenistan,6046292,,3.09
Turks and Caicos,38806,,3.09
Tuvalu,11817,4974.0,3.73
U.S. Virgin Islands,104398,4974.0,3.73
Uganda,45974931,847.0,2.43
Ukraine,43686577,3752.0,5.86
United Arab Emirates,9910892,37629.0,3.1
United Kingdom,67948282,40319.0,5.07
United States,331341050,63531.0,5.07
Uruguay,3475842,15620.0,3.36
Uzbekistan,33551824,1750.0,5.95
Vanuatu,308337,2878.0,5.73
Venezuela,28421581,2878.0,3.11
Vietnam,97490013,3586.0,4.72
Wallis & Futuna,11203,39552.0,4.72
Western Sahara,599769,3234.0,4.72
Yemen,29935468,10883.0,8.01
Zambia,18468257,957.0,3.39
Zimbabwe,14899771,1373.0,5.0
