country,avg_primary_enrollment_pct,avg_primary_completion_pct,avg_secondary_enrollment_pct,avg_secondary_completion_pct,avg_tertiary_enrollment_pct,avg_tertiary_completion_pct
Jamaica,96.64,81.92,88.7,91.19,22.79,7.72
Japan,101.69,81.92,101.54,91.19,56.35,17.65
Jordan,98.87,84.86,88.66,74.3,39.4,3.84
Kazakhstan,105.04,105.12,102.15,102.13,47.39,11.98
Kenya,107.45,93.86,48.15,77.97,3.05,2.83
Kiribati,110.98,110.17,83.69,99.27,3.05,2.83
Kuwait,105.4,96.75,98.0,93.63,23.12,4.62
Kyrgyzstan,99.35,98.89,87.17,90.78,42.85,7.79
Laos,114.07,84.42,45.06,50.26,11.35,2.6
Latvia,99.95,100.48,102.41,98.77,70.94,9.97
Lebanon,106.42,100.48,77.81,98.77,44.81,9.97
Lesotho,113.29,76.5,43.83,37.5,5.4,0.67
Liberia,98.58,63.18,38.88,40.26,13.45,2.22
Libya,110.21,63.18,102.41,40.26,55.84,8.78
Liechtenstein,105.79,100.82,110.13,95.26,33.74,8.78
Lithuania,100.67,101.64,103.1,98.24,74.24,12.56
Luxembourg,99.24,81.68,98.21,101.75,12.84,13.73
Macao,100.13,95.59,96.06,86.99,60.89,7.65
Madagascar,133.56,59.58,30.5,26.6,3.21,7.65
Malawi,135.65,68.45,32.61,20.29,0.49,0.18
Malaysia,100.13,99.78,69.0,85.8,30.84,4.48
Maldives,115.41,107.69,62.83,100.09,10.04,0.22
Mali,74.37,47.71,32.38,29.79,4.56,0.65
Malta,99.97,101.25,96.37,97.25,34.24,8.5
Marshall Islands,111.2,92.76,83.88,97.98,29.57,8.5
Martinique,111.2,92.76,83.88,97.98,29.57,8.5
Mauritania,91.92,61.77,23.05,24.94,4.09,1.08
Mauritius,102.9,98.15,88.01,83.77,26.88,1.46
Mayotte,102.9,98.15,88.01,83.77,26.88,1.46
Mexico,103.85,102.05,80.55,84.98,24.37,8.35
Micronesia,103.85,102.05,80.55,84.98,24.37,8.35
Moldova,96.02,105.36,86.68,104.99,37.55,7.34
Monaco,96.02,105.36,86.68,104.99,37.55,7.34
Mongolia,106.84,96.83,84.43,87.52,48.84,14.48
Montenegro,107.92,93.28,94.86,92.18,30.13,14.48
Montserrat,107.92,93.28,94.86,92.18,30.13,14.48
Morocco,107.68,84.28,52.9,56.09,15.06,4.7
Mozambique,98.09,45.04,19.4,16.92,3.93,0.23
Myanmar,98.06,82.59,44.08,44.0,12.21,3.99
Namibia,110.47,90.09,63.48,65.26,6.96,0.98
Nauru,100.29,110.5,55.6,57.29,6.96,0.98
Nepal,129.03,91.41,53.97,72.36,10.11,1.77
Netherlands,107.47,91.41,124.85,72.36,61.97,13.69
New Caledonia,107.47,91.41,124.85,72.36,61.97,13.69
New Zealand,99.3,91.41,117.49,72.36,77.57,17.31
